1803-7380 , 36 , 0 , 0 , nan , 0
2336-4408 , 36 , 0 , 0 , nan , 0
1693-7961 , 115 , 0 , 0 , nan , 0
2541-2450 , 115 , 0 , 0 , nan , 0
2078-9130 , 37 , 0 , 0 , nan , 0
0823-2105 , 1321 , 244 , 24 , 0.1 , 3
2371-0179 , 1321 , 244 , 24 , 0.1 , 3
1009-1742 , 52 , 0 , 0 , nan , 0
1092-3934 , 5 , 0 , 0 , nan , 0
2328-9651 , 5 , 0 , 0 , nan , 0
2459-590X , 15 , 0 , 0 , nan , 0
2459-6086 , 15 , 0 , 0 , nan , 0
1508-4183 , 6 , 0 , 0 , nan , 0
2230-9152 , 12 , 0 , 0 , nan , 0
2475-241X , 88 , 75 , 0 , 0.0 , 0
1810-8601 , 239 , 117 , 2 , 0.02 , 1
2312-2722 , 235 , 117 , 2 , 0.02 , 1
2159-3612 , 766 , 0 , 0 , nan , 0
2059-3708 , 41 , 0 , 0 , nan , 0
2059-3716 , 26 , 0 , 0 , nan , 0
1335-8421 , 93 , 72 , 13 , 0.18 , 2
0001-625X , 0 , 0 , 0 , nan , 0
2051-5960 , 525 , 352 , 3315 , 9.42 , 24
1787-064X , 63 , 49 , 26 , 0.53 , 3
1335-2555 , 33 , 33 , 2 , 0.06 , 1
2344-150X , 69 , 49 , 2 , 0.04 , 1
1751-0147 , 1303 , 536 , 2082 , 3.88 , 16
0964-5284 , 1881 , 523 , 1860 , 3.56 , 17
1308-7363 , 285 , 259 , 5 , 0.02 , 1
1084-1806 , 569 , 203 , 288 , 1.42 , 8
2213-7467 , 84 , 50 , 117 , 2.34 , 5
2070-0733 , 357 , 250 , 623 , 2.49 , 10
2326-3768 , 132 , 70 , 180 , 2.57 , 7
1479-3660 , 506 , 309 , 49 , 0.16 , 3
1895-9881 , 38 , 38 , 8 , 0.21 , 2
1837-4905 , 446 , 169 , 290 , 1.72 , 8
1355-5146 , 1470 , 314 , 458 , 1.46 , 9
